Rank,Name,Symbol,marketcap,price (USD),country,sector
1721,Brera Holdings,BREA,15091938,6.25,Ireland,#N/D
1722,LL Lucky Games,LADYLU.ST,15065703,0.0525582,Sweden,entertainment
1723,AHT Syngas Technology,3SQ1.DE,14727940,5.95586,Germany,energy
1724,Predilife,ALPRE.PA,14331486,3.78372,France,#N/D
1725,Moolec Science,MLEC,14268257,1.31,Luxembourg,food
1726,Alligator Bioscience AB,ATORX.ST,14238978,0.40912,Sweden,biotech
1727,Don't Nod Entertainment,ALDNE.PA,13934132,1.07205,France,entertainment
1728,Bertelsmann SE & Co. KGaA,BTG.F,12765012,152.4,Germany,#N/D
1729,Groupe OKwind,ALOKW.PA,12520778,1.51816,France,electricity
1730,Manz AG,M5Z.DE,12485800,1.20763,Germany,#N/D
1731,Groupe Airwell,ALAIR.PA,11632023,1.93273,France,#N/D
1732,OceanPal,OP,10914676,0.0652,Greece,transportation
1733,Gaming Factory,GIF.WA,10779632,1.77364,Poland,entertainment
1734,Mauna Kea Technologies,ALMKT.PA,9770975,0.122387,France,#N/D
1735,Fragbite Group,FRAG.ST,9378995,1.17675,Sweden,entertainment
1736,Oncodesign Precision Medicine,ALOPM.PA,8532012,0.462455,France,biotech
1737,Mainz Biomed,MYNZ,7598773,1.6599,Germany,biotech
1738,Kalray,ALKAL.PA,7488825,0.618942,France,semiconductor
1739,Witbe S.A.,ALWIT.PA,6935156,1.68165,France,sw
1740,Brüder Mannesmann AG,BMM.F,6831718,1.51816,Germany,retail
1741,Réalités,ALREA.PA,6095372,1.2846,France,real_state
1742,ManyDev Studio,MAN.WA,5414746,0.189327,Poland,entertainment
1743,Nitro Games,NITRO.ST,4082513,0.163796,Finland,entertainment
1744,PunkPirates,PUN.WA,3942991,0.13,Poland,entertainment
1745,Mynaric,M0YN.DE,3874750,0.613256,Germany,tech
1746,Affimed,AFMD,2975202,0.1815,Germany,biotech
1747,Qiiwi Games,QIIWI.ST,2967581,0.320837,Sweden,entertainment
1748,Medigene AG,MDG1.DE,2321497,0.157522,Germany,biotech
1749,Thunderful Group,THUNDR.ST,1879997,0.0252237,Sweden,entertainment
1750,T-Bull,TBL.WA,1274986,1.07294,Poland,entertainment
1751,Compleo Charging Solutions,C0M.F,1194142,0.0770758,Germany,electricity
1752,Sporttotal AG,WIG1.DE,1179024,0.0332827,Germany,entertainment
1753,Maximum Entertainment,8R7.F,1073658,0.0081747,Sweden,entertainment
1754,Global Bioenergies,ALGBE.PA,724036,0.0377204,France,energy
1755,Sozap,SOZAP.ST,586747,0.0263846,Sweden,entertainment
1756,Esports Entertainment,GMBL,389633,0.34,Malta,entertainment
1757,Qiwi,QIWI.ME,0,2.56,Cyprus,financial
1758,X5 Retail Group,FIVE.ME,0,32.42,Netherlands,food
